id_transaccion,fecha_venta,id_cliente,id_producto,cantidad,descuento_aplicado,visitas_previas,canales_venta,devolucion,satisfaccion,nombre,apellido,genero_cliente,edad_cliente,correo_cliente,region,marca,precio_unitario,nombre_producto,categoria_producto,ingreso_venta,monto_devolucion
1,2025-06-23,CLTE_16,1017,1,0.2,5,App,0,3,Alex,Sepúlveda,F,30.0,cliente_16@gmail.com,Región Metropolitana,Marca D,312310.0,Horno eléctico,ElectroHogar,249848.0,0.0
2,2025-12-26,CLTE_39,1011,5,0.0,9,App,0,4,Emilia,Fuentes,Masculino,69.0,cliente_39@gmail.com,Valparaíso,Marca D,672298.0,Lavavajillas,ElectroHogar,3361490.0,0.0
3,2025-10-04,CLTE_45,1000,1,0.2,1,Página Web,0,5,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca C,883810.0,Smartphone,Tecnología,707048.0,0.0
4,2025-08-11,CLTE_42,1011,1,0.3,5,Página Web,0,4,Emilia,Contreras,Masculino,20.0,cliente_42@gmail.com,Región Metropolitana,Marca D,672298.0,Lavavajillas,ElectroHogar,470609.0,0.0
5,2025-08-11,CLTE_39,1004,1,0.2,9,Web,0,4,Emilia,Fuentes,Masculino,69.0,cliente_39@gmail.com,Valparaíso,Marca C,848195.0,Tablet,Tecnología,678556.0,0.0
6,2025-06-22,CLTE_14,1016,3,0.2,1,App,0,4,Gaspar,Soto,Femenino,,cliente_14@gmail.com,Valparaíso,Marca B,291082.0,Freidora,ElectroHogar,698597.0,0.0
7,2025-04-26,CLTE_31,1015,3,0.0,9,Web,0,5,Trinidad,Santibáñez,F,47.0,cliente_31@gmail.com,Región Metropolitana,Marca D,973927.0,Refrigerador,ElectroHogar,2921781.0,0.0
8,2025-06-10,CLTE_5,1014,1,0.0,8,App,0,5,Gaspar,Fuentes,F,49.0,cliente_5@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,940732.0,0.0
9,2025-10-07,CLTE_35,1014,5,0.0,4,Página Web,0,5,Noah,Fuentes,F,56.0,cliente_35@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,4703660.0,0.0
10,2025-06-04,CLTE_23,1004,4,0.0,10,Web,0,4,Emma,Díaz,Masculino,59.0,cliente_23@gmail.com,RM,Marca C,848195.0,Tablet,Tecnología,3392780.0,0.0
11,2025-02-07,CLTE_29,1013,4,0.0,5,Web,0,4,Santiago,Palacios,F,61.0,cliente_29@gmail.com,Región Metropolitana,Marca B,378560.0,Microondas,ElectroHogar,1514240.0,0.0
12,2025-11-19,CLTE_43,1001,2,0.0,5,App,0,5,Vicente,Martínez,F,,cliente_43@gmail.com,Atacama,Marca B,196820.0,Parlante,Tecnología,393640.0,0.0
13,2025-02-27,CLTE_11,1010,5,0.0,6,Página Web,0,5,Aurora,Silva,Masculino,62.0,cliente_11@gmail.com,Maule,Marca D,787487.0,Aspiradora robot,ElectroHogar,3937435.0,0.0
14,2025-12-08,CLTE_18,1018,3,0.0,7,Web,0,4,Mateo,Arias,Masculino,24.0,cliente_18@gmail.com,Región Metropolitana,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,1472274.0,0.0
15,2025-07-14,CLTE_47,1006,1,0.2,8,Página Web,0,5,Julieta,Morales,M,26.0,cliente_47@gmail.com,Biobío,Marca D,410463.0,Smartwatch,Tecnología,328370.0,0.0
16,2025-09-13,CLTE_12,1005,2,0.0,8,Web,0,5,Ariel,Díaz,F,32.0,cliente_12@gmail.com,Coquimbo,Marca D,857761.0,Smart TV,Tecnología,1715522.0,0.0
17,2025-02-27,CLTE_9,1001,4,0.1,2,Página Web,0,4,Andrea,Díaz,F,40.0,cliente_9@gmail.com,Valparaíso,Marca B,196820.0,Parlante,Tecnología,708552.0,0.0
18,2025-10-04,CLTE_10,1005,3,0.2,9,App,0,5,Aurora,Espinoza,Femenino,56.0,cliente_10@gmail.com,RM,Marca D,857761.0,Smart TV,Tecnología,2058626.0,0.0
19,2025-05-31,CLTE_44,1017,3,0.3,7,Web,1,2,Facundo,González,Masculino,23.0,cliente_44@gmail.com,La Araucanía,Marca D,312310.0,Horno eléctico,ElectroHogar,655851.0,524565.0
20,2025-10-31,CLTE_17,1001,1,0.0,4,Web,0,4,Ariel,Díaz,Femenino,49.0,cliente_17@gmail.com,Antofagasta,Marca B,196820.0,Parlante,Tecnología,196820.0,0.0
21,2025-08-03,CLTE_38,1017,4,0.2,4,Página Web,0,4,Isidora,Martínez,Masculino,44.0,cliente_38@gmail.com,Región Metropolitana,Marca D,312310.0,Horno eléctico,ElectroHogar,999392.0,0.0
22,2025-11-18,CLTE_7,1014,5,0.3,8,Página Web,0,5,Emilia,Araya,Masculino,47.0,cliente_7@gmail.com,Atacama,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,3292562.0,0.0
23,2025-04-09,CLTE_46,1018,3,0.3,4,Web,0,5,Vicente,Silva,M,44.0,cliente_46@gmail.com,RM,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,1030592.0,0.0
24,2025-06-02,CLTE_13,1001,1,0.0,6,App,0,5,Facundo,Muñoz,Femenino,60.0,cliente_13@gmail.com,Los Lagos,Marca B,196820.0,Parlante,Tecnología,196820.0,0.0
25,2025-05-08,CLTE_40,1019,5,0.0,5,Página Web,0,3,Ariel,López,M,30.0,cliente_40@gmail.com,Maule,Marca A,453940.0,Robot de Cocina,ElectroHogar,2269700.0,0.0
26,2025-08-21,CLTE_42,1005,4,0.0,3,Página Web,0,5,Emilia,Contreras,Masculino,20.0,cliente_42@gmail.com,Región Metropolitana,Marca D,857761.0,Smart TV,Tecnología,3431044.0,0.0
27,2025-06-10,CLTE_9,1000,3,0.0,10,Página Web,0,5,Andrea,Díaz,F,,cliente_9@gmail.com,Valparaíso,Marca C,883810.0,Smartphone,Tecnología,2651430.0,0.0
28,2025-08-18,CLTE_50,1014,5,0.0,2,Web,0,5,Noah,Silva,Masculino,68.0,cliente_50@gmail.com,Valparaíso,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,4703660.0,0.0
29,2025-08-26,CLTE_27,1009,5,0.1,9,Web,0,5,Josefa,Silva,Masculino,45.0,cliente_27@gmail.com,Valparaíso,Marca A,936279.0,Lente inteligente,Tecnología,4213256.0,0.0
30,2025-02-04,CLTE_2,1018,5,0.2,10,Web,0,5,Noah,Contreras,Masculino,56.0,cliente_2@gmail.com,Valparaíso,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,1963032.0,0.0
31,2025-10-10,CLTE_5,1016,3,0.0,9,Web,0,4,Gaspar,Fuentes,F,49.0,cliente_5@gmail.com,RM,Marca B,291082.0,Freidora,ElectroHogar,873246.0,0.0
32,2025-02-20,CLTE_29,1004,3,0.2,1,App,0,4,Santiago,Palacios,F,61.0,cliente_29@gmail.com,Región Metropolitana,Marca C,848195.0,Tablet,Tecnología,2035668.0,0.0
33,2025-06-23,CLTE_37,1003,2,0.0,10,App,1,1,Sofía,López,M,18.0,cliente_37@gmail.com,Biobío,Marca C,703354.0,Notebook,Tecnología,1406708.0,799977.0
34,2025-10-10,CLTE_38,1009,4,0.1,3,Web,0,4,Isidora,Martínez,Masculino,44.0,cliente_38@gmail.com,Región Metropolitana,Marca A,936279.0,Lente inteligente,Tecnología,3370604.0,0.0
35,2025-04-02,CLTE_19,1016,1,0.3,8,App,0,4,Thiago,Espinoza,Masculino,68.0,,RM,Marca B,291082.0,Freidora,ElectroHogar,203757.0,0.0
36,2025-08-11,CLTE_8,1009,5,0.0,6,Página Web,0,5,Isidora,Torres,M,54.0,cliente_8@gmail.com,Valparaíso,Marca A,936279.0,Lente inteligente,Tecnología,4681395.0,0.0
37,2025-05-08,CLTE_48,1016,2,0.0,5,Página Web,0,4,Ariel,Flores,Femenino,54.0,cliente_48@gmail.com,RM,Marca B,291082.0,Freidora,ElectroHogar,582164.0,0.0
38,2025-05-22,CLTE_45,1019,1,0.2,5,Página Web,0,3,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca A,453940.0,Robot de Cocina,ElectroHogar,363152.0,0.0
39,2025-05-22,CLTE_1,1004,2,0.0,6,Web,0,5,Emilia,Fuentes,Masculino,49.0,cliente_1@gmail.com,Valparaíso,Marca C,848195.0,Tablet,Tecnología,1696390.0,0.0
40,2025-12-26,CLTE_22,1001,3,0.0,7,Página Web,0,3,Ariel,Sepúlveda,F,19.0,cliente_22@gmail.com,Región Metropolitana,Marca B,196820.0,Parlante,Tecnología,590460.0,0.0
41,2025-10-13,CLTE_17,1005,5,0.2,1,App,0,4,Ariel,Díaz,Femenino,49.0,cliente_17@gmail.com,Antofagasta,Marca D,857761.0,Smart TV,Tecnología,3431044.0,0.0
42,2025-05-08,CLTE_7,1001,1,0.0,9,Web,0,3,Emilia,Araya,Masculino,47.0,cliente_7@gmail.com,Atacama,Marca B,196820.0,Parlante,Tecnología,196820.0,0.0
43,2025-01-22,CLTE_25,1012,1,0.1,3,App,0,4,Alex,Hernández,Femenino,23.0,,Atacama,Marca A,584880.0,Lavadora,ElectroHogar,526392.0,0.0
44,2025-06-18,CLTE_45,1010,1,0.0,4,Página Web,0,4,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca D,787487.0,Aspiradora robot,ElectroHogar,787487.0,0.0
45,2025-08-11,CLTE_4,1010,1,0.2,10,Página Web,0,4,Aurora,Silva,Masculino,69.0,cliente_4@gmail.com,Valparaíso,Marca D,787487.0,Aspiradora robot,ElectroHogar,629990.0,0.0
46,2025-06-18,CLTE_36,1015,1,0.0,1,Página Web,0,4,Isabella,Santibáñez,F,50.0,,RM,Marca D,973927.0,Refrigerador,ElectroHogar,973927.0,0.0
47,2025-06-21,CLTE_6,1010,2,0.3,10,Web,0,5,Ariel,Rojas,M,21.0,cliente_6@gmail.com,Región Metropolitana,Marca D,787487.0,Aspiradora robot,ElectroHogar,1102482.0,0.0
48,2025-08-03,CLTE_31,1018,5,0.1,3,App,0,4,Trinidad,Santibáñez,F,47.0,cliente_31@gmail.com,Región Metropolitana,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,2208411.0,0.0
49,2025-07-07,CLTE_19,1014,3,0.0,2,Web,1,2,Thiago,Espinoza,Masculino,68.0,,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,2822196.0,2650891.0
50,2025-09-21,CLTE_44,1015,3,0.0,2,Web,0,3,Facundo,González,Masculino,23.0,cliente_44@gmail.com,La Araucanía,Marca D,973927.0,Refrigerador,ElectroHogar,2921781.0,0.0
51,2025-06-18,CLTE_39,1010,3,0.3,1,Página Web,0,4,Emilia,Fuentes,Masculino,69.0,cliente_39@gmail.com,Valparaíso,Marca D,787487.0,Aspiradora robot,ElectroHogar,1653723.0,0.0
52,2025-08-18,CLTE_27,1015,3,0.0,8,Web,0,5,Josefa,Silva,Masculino,45.0,cliente_27@gmail.com,Valparaíso,Marca D,973927.0,Refrigerador,ElectroHogar,2921781.0,0.0
53,2025-11-19,CLTE_10,1007,2,0.0,3,Web,0,3,Aurora,Espinoza,Femenino,56.0,cliente_10@gmail.com,RM,Marca B,888892.0,Consola,Tecnología,1777784.0,0.0
54,2025-10-07,CLTE_26,1003,4,0.0,3,Página Web,0,4,Thiago,Fuentes,M,45.0,cliente_26@gmail.com,Región Metropolitana,Marca C,703354.0,Notebook,Tecnología,2813416.0,0.0
55,2025-06-23,CLTE_19,1007,5,0.0,6,Web,0,4,Thiago,Espinoza,Masculino,68.0,cliente_19@gmail.com,RM,Marca B,888892.0,Consola,Tecnología,4444460.0,0.0
56,2025-05-07,CLTE_39,1003,1,0.1,8,Página Web,0,4,Emilia,Fuentes,Masculino,69.0,,Valparaíso,Marca C,703354.0,Notebook,Tecnología,633019.0,0.0
57,2025-10-04,CLTE_3,1002,4,0.0,9,Página Web,0,3,Trinidad,Rodríguez,F,66.0,cliente_3@gmail.com,Valparaíso,Marca B,286083.0,Audífonos,Tecnología,1144332.0,0.0
58,2025-12-20,CLTE_45,1002,3,0.0,9,Página Web,1,2,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca B,286083.0,Audífonos,Tecnología,858249.0,264508.0
59,2025-12-08,CLTE_13,1017,4,0.0,4,Página Web,0,4,Facundo,Muñoz,Femenino,60.0,cliente_13@gmail.com,Los Lagos,Marca D,312310.0,Horno eléctico,ElectroHogar,1249240.0,0.0
60,2025-02-08,CLTE_50,1018,5,0.0,5,Web,0,3,Noah,Silva,Masculino,68.0,cliente_50@gmail.com,Valparaíso,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,2453790.0,0.0
61,2025-11-13,CLTE_28,1018,1,0.0,2,Página Web,0,5,Lucas,Araya,Masculino,,cliente_28@gmail.com,Biobío,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,490758.0,0.0
62,2025-08-18,CLTE_20,1004,1,0.0,9,Página Web,0,5,Benjamín,Rodríguez,M,39.0,cliente_20@gmail.com,RM,Marca C,2882470.0,Tablet,Tecnología,2882470.0,0.0
63,2025-09-10,CLTE_28,1017,5,0.3,8,Web,0,5,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca D,312310.0,Horno eléctico,ElectroHogar,1093085.0,0.0
64,2025-06-22,CLTE_8,1009,5,0.0,3,Web,0,4,Isidora,Torres,M,54.0,cliente_8@gmail.com,Valparaíso,Marca A,936279.0,Lente inteligente,Tecnología,4681395.0,0.0
65,2025-10-08,CLTE_41,1005,3,0.0,9,App,1,2,Julieta,González,Masculino,58.0,cliente_41@gmail.com,Biobío,Marca D,857761.0,Smart TV,Tecnología,2573283.0,1778266.0
66,2025-01-04,CLTE_39,1000,1,0.2,3,Web,0,4,Emilia,Fuentes,Masculino,69.0,cliente_39@gmail.com,Valparaíso,Marca C,883810.0,Smartphone,Tecnología,707048.0,0.0
67,2025-09-04,CLTE_1,1004,4,0.0,9,Web,0,4,Emilia,Fuentes,Masculino,49.0,cliente_1@gmail.com,Valparaíso,Marca C,848195.0,Tablet,Tecnología,3392780.0,0.0
68,2025-04-02,CLTE_3,1008,2,0.2,2,App,1,1,Trinidad,Rodríguez,F,66.0,cliente_3@gmail.com,Valparaíso,Marca D,852419.0,Anillo inteligente,Tecnología,1363870.0,1031910.0
69,2025-05-07,CLTE_13,1011,2,0.0,10,Web,0,5,Facundo,Muñoz,Femenino,60.0,cliente_13@gmail.com,Los Lagos,Marca D,672298.0,Lavavajillas,ElectroHogar,1344596.0,0.0
70,2025-04-09,CLTE_28,1013,5,0.0,9,Web,0,4,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca B,378560.0,Microondas,ElectroHogar,1892800.0,0.0
71,2025-11-18,CLTE_49,1001,3,0.0,8,Web,0,4,Mateo,Torres,F,50.0,cliente_49@gmail.com,Maule,Marca B,196820.0,Parlante,Tecnología,590460.0,0.0
72,2025-12-26,CLTE_25,1016,2,0.0,9,Web,0,3,Alex,Hernández,Femenino,23.0,cliente_25@gmail.com,Atacama,Marca B,291082.0,Freidora,ElectroHogar,582164.0,0.0
73,2025-05-07,CLTE_33,1013,1,0.1,5,App,0,5,Thiago,López,M,45.0,cliente_33@gmail.com,Biobío,Marca B,378560.0,Microondas,ElectroHogar,340704.0,0.0
74,2025-02-08,CLTE_38,1012,5,0.0,2,Web,0,5,Isidora,Martínez,Masculino,44.0,cliente_38@gmail.com,Región Metropolitana,Marca A,584880.0,Lavadora,ElectroHogar,2924400.0,0.0
75,2025-08-18,CLTE_6,1008,4,0.0,8,Web,0,5,Ariel,Rojas,M,21.0,cliente_6@gmail.com,Región Metropolitana,Marca D,852419.0,Anillo inteligente,Tecnología,3409676.0,0.0
76,2025-05-22,CLTE_44,1014,5,0.0,6,App,0,4,Facundo,González,Masculino,23.0,cliente_44@gmail.com,La Araucanía,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,4703660.0,0.0
77,2025-05-22,CLTE_45,1014,4,0.0,8,Página Web,1,2,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,3762928.0,3231852.0
78,2025-07-07,CLTE_32,1010,5,0.1,5,App,0,4,Isidora,Hernández,Masculino,28.0,cliente_32@gmail.com,Biobío,Marca D,787487.0,Aspiradora robot,ElectroHogar,3543692.0,0.0
79,2025-02-05,CLTE_45,1015,5,0.0,10,Página Web,1,1,Liam,Rodríguez,Masculino,25.0,cliente_45@gmail.com,Región Metropolitana,Marca D,973927.0,Refrigerador,ElectroHogar,4869635.0,4384101.0
80,2025-04-09,CLTE_47,1016,5,0.0,2,App,0,4,Julieta,Morales,M,26.0,cliente_47@gmail.com,Biobío,Marca B,291082.0,Freidora,ElectroHogar,1455410.0,0.0
81,2025-07-05,CLTE_21,1003,4,0.0,6,App,0,5,Mateo,Muñoz,Femenino,45.0,cliente_21@gmail.com,RM,Marca C,703354.0,Notebook,Tecnología,2813416.0,0.0
82,2025-01-17,CLTE_16,1000,4,0.0,5,Web,0,5,Alex,Sepúlveda,F,30.0,cliente_16@gmail.com,Región Metropolitana,Marca C,883810.0,Smartphone,Tecnología,3535240.0,0.0
83,2025-11-18,CLTE_21,1007,5,0.2,5,Página Web,0,5,Mateo,Muñoz,Femenino,45.0,cliente_21@gmail.com,RM,Marca B,888892.0,Consola,Tecnología,3555568.0,0.0
84,2025-10-13,CLTE_11,1016,2,0.0,1,Web,0,5,Aurora,Silva,Masculino,62.0,,Maule,Marca B,291082.0,Freidora,ElectroHogar,582164.0,0.0
85,2025-02-02,CLTE_37,1002,3,0.1,2,Página Web,0,5,Sofía,López,M,18.0,cliente_37@gmail.com,Biobío,Marca B,2882470.0,Audífonos,Tecnología,7782669.0,0.0
86,2025-05-07,CLTE_36,1019,3,0.0,8,App,0,4,Isabella,Santibáñez,F,50.0,cliente_36@gmail.com,RM,Marca A,453940.0,Robot de Cocina,ElectroHogar,1361820.0,0.0
87,2025-07-05,CLTE_35,1014,3,0.0,3,App,0,4,Noah,Fuentes,F,56.0,cliente_35@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,2822196.0,0.0
88,2025-06-21,CLTE_19,1014,4,0.3,10,Página Web,1,2,Thiago,Espinoza,Masculino,68.0,cliente_19@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,2634050.0,1480829.0
89,2025-06-10,CLTE_20,1013,4,0.0,3,Web,0,4,Benjamín,Rodríguez,M,39.0,cliente_20@gmail.com,RM,Marca B,378560.0,Microondas,ElectroHogar,1514240.0,0.0
90,2025-10-15,CLTE_18,1013,2,0.0,8,Web,0,5,Mateo,Arias,Masculino,24.0,cliente_18@gmail.com,Región Metropolitana,Marca B,378560.0,Microondas,ElectroHogar,757120.0,0.0
91,2025-02-02,CLTE_47,1001,3,0.1,8,Web,0,4,Julieta,Morales,M,26.0,cliente_47@gmail.com,Biobío,Marca B,196820.0,Parlante,Tecnología,531414.0,0.0
92,2025-10-10,CLTE_41,1012,3,0.0,2,Web,0,4,Julieta,González,Masculino,58.0,cliente_41@gmail.com,Biobío,Marca A,584880.0,Lavadora,ElectroHogar,1754640.0,0.0
93,2025-08-11,CLTE_49,1013,5,0.2,8,App,0,5,Mateo,Torres,F,50.0,,Maule,Marca B,378560.0,Microondas,ElectroHogar,1514240.0,0.0
94,2025-08-03,CLTE_14,1018,4,0.0,1,App,0,5,Gaspar,Soto,Femenino,46.0,cliente_14@gmail.com,Valparaíso,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,1963032.0,0.0
95,2025-06-18,CLTE_15,1006,3,0.3,6,App,1,2,Isabella,Arias,M,53.0,cliente_15@gmail.com,Los Lagos,Marca D,410463.0,Smartwatch,Tecnología,861972.0,273946.0
96,2025-05-07,CLTE_31,1002,2,0.1,8,App,0,3,Trinidad,Santibáñez,F,47.0,cliente_31@gmail.com,Región Metropolitana,Marca B,286083.0,Audífonos,Tecnología,514949.0,0.0
97,2025-10-16,CLTE_1,1014,2,0.0,3,App,1,1,Emilia,Fuentes,Masculino,49.0,cliente_1@gmail.com,Valparaíso,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,1881464.0,1403255.0
98,2025-08-18,CLTE_3,1013,3,0.3,8,Web,0,4,Trinidad,Rodríguez,F,66.0,cliente_3@gmail.com,Valparaíso,Marca B,378560.0,Microondas,ElectroHogar,794976.0,0.0
99,2025-04-07,CLTE_16,1010,4,0.0,1,Web,0,4,Alex,Sepúlveda,F,30.0,,Región Metropolitana,Marca D,787487.0,Aspiradora robot,ElectroHogar,3149948.0,0.0
100,2025-12-21,CLTE_23,1014,2,0.3,9,Web,0,4,Emma,Díaz,Masculino,59.0,cliente_23@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,1317025.0,0.0
101,2025-06-10,CLTE_11,1012,5,0.0,9,Web,0,4,Aurora,Silva,Masculino,62.0,cliente_11@gmail.com,Maule,Marca A,584880.0,Lavadora,ElectroHogar,2924400.0,0.0
102,2025-04-02,CLTE_12,1017,2,0.0,5,App,0,4,Ariel,Díaz,F,32.0,cliente_12@gmail.com,Coquimbo,Marca D,312310.0,Horno eléctico,ElectroHogar,624620.0,0.0
103,2025-02-18,CLTE_10,1005,1,0.0,10,App,0,5,Aurora,Espinoza,Femenino,56.0,cliente_10@gmail.com,RM,Marca D,857761.0,Smart TV,Tecnología,857761.0,0.0
104,2025-05-23,CLTE_32,1002,1,0.0,4,App,0,5,Isidora,Hernández,Masculino,28.0,cliente_32@gmail.com,Biobío,Marca B,286083.0,Audífonos,Tecnología,286083.0,0.0
105,2025-11-09,CLTE_16,1018,4,0.0,6,Página Web,0,4,Alex,Sepúlveda,F,30.0,cliente_16@gmail.com,Región Metropolitana,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,1963032.0,0.0
106,2025-04-07,CLTE_8,1014,3,0.2,7,Web,0,3,Isidora,Torres,M,,cliente_8@gmail.com,Valparaíso,Marca A,2882470.0,Lavadora-Secadora,ElectroHogar,6917928.0,0.0
107,2025-01-22,CLTE_38,1004,4,0.2,5,Web,0,5,Isidora,Martínez,Masculino,44.0,cliente_38@gmail.com,Región Metropolitana,Marca C,848195.0,Tablet,Tecnología,2714224.0,0.0
108,2025-07-10,CLTE_12,1009,4,0.3,10,App,0,5,Ariel,Díaz,F,32.0,cliente_12@gmail.com,Coquimbo,Marca A,936279.0,Lente inteligente,Tecnología,2621581.0,0.0
109,2025-08-08,CLTE_24,1006,4,0.0,9,Web,0,5,Thiago,Araya,Femenino,62.0,,RM,Marca D,410463.0,Smartwatch,Tecnología,1641852.0,0.0
110,2025-01-17,CLTE_28,1016,4,0.0,3,Web,0,3,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca B,291082.0,Freidora,ElectroHogar,1164328.0,0.0
111,2025-01-17,CLTE_8,1006,5,0.0,7,App,0,3,Isidora,Torres,M,54.0,cliente_8@gmail.com,Valparaíso,Marca D,410463.0,Smartwatch,Tecnología,2052315.0,0.0
112,2025-11-19,CLTE_28,1011,5,0.0,10,Página Web,0,4,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca D,672298.0,Lavavajillas,ElectroHogar,3361490.0,0.0
113,2025-09-10,CLTE_36,1016,2,0.0,10,Página Web,0,3,Isabella,Santibáñez,F,50.0,,RM,Marca B,291082.0,Freidora,ElectroHogar,582164.0,0.0
114,2025-12-15,CLTE_26,1012,1,0.0,5,Página Web,0,4,Thiago,Fuentes,M,45.0,cliente_26@gmail.com,Región Metropolitana,Marca A,584880.0,Lavadora,ElectroHogar,584880.0,0.0
115,2025-01-22,CLTE_8,1019,4,0.1,7,App,0,5,Isidora,Torres,M,54.0,cliente_8@gmail.com,Valparaíso,Marca A,453940.0,Robot de Cocina,ElectroHogar,1634184.0,0.0
116,2025-12-08,CLTE_50,1003,2,0.0,2,Web,0,4,Noah,Silva,Masculino,68.0,cliente_50@gmail.com,Valparaíso,Marca C,703354.0,Notebook,Tecnología,1406708.0,0.0
117,2025-04-24,CLTE_28,1009,1,0.0,4,App,0,3,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca A,936279.0,Lente inteligente,Tecnología,936279.0,0.0
118,2025-01-17,CLTE_28,1002,3,0.0,2,App,0,4,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca B,286083.0,Audífonos,Tecnología,858249.0,0.0
119,2025-08-21,CLTE_37,1008,5,0.0,7,Web,0,3,Sofía,López,M,18.0,cliente_37@gmail.com,Biobío,Marca D,852419.0,Anillo inteligente,Tecnología,4262095.0,0.0
120,2025-09-03,CLTE_41,1012,1,0.0,2,Página Web,1,1,Julieta,González,Masculino,58.0,cliente_41@gmail.com,Biobío,Marca A,584880.0,Lavadora,ElectroHogar,584880.0,485070.0
121,2025-12-15,CLTE_36,1017,3,0.3,1,Página Web,0,4,Isabella,Santibáñez,F,50.0,cliente_36@gmail.com,RM,Marca D,312310.0,Horno eléctico,ElectroHogar,655851.0,0.0
122,2025-10-29,CLTE_27,1014,1,0.0,9,App,1,1,Josefa,Silva,Masculino,45.0,cliente_27@gmail.com,Valparaíso,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,940732.0,472691.0
